level;position;tech_stack;experience;gender;company;company_size;work_type;city;currency;salary;raise_period
Junior;Full Stack Developer;"Java;JavaScript | Html | Css;Angular";1 - 3 Yýl;Erkek;Outsource;11 - 20 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;40.000 - 40.999;2
Senior;Back-end Developer;Java;7 - 10 Yýl;Erkek;Banka;250+;Hibrit (Ofis + Remote);Ýzmir;? - Türk Lirasý;120.000 - 124.999;2
Senior;Mobile Application Developer (iOS);Swift;5 - 7 Yýl;Erkek;Outsource;101 - 249 Kiþi;Remote;* Almanya;€ - Euro;4.000 - 4.999;1
Senior;Mobile Application Developer (Android);"Java;Kotlin;Swift";12 - 14 Yýl;Erkek;Kurumsal;250+;Remote;* Almanya;€ - Euro;5.000 - 5.999;1
Senior;Data Scientist;Python;5 - 7 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;250+;Remote;Ýstanbul;? - Türk Lirasý;95.000 - 99.999;2
Senior;Embedded Software Developer;".Net;Python;C / C++";3 - 5 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;21 - 50 Kiþi;Ofis;Ýstanbul;? - Türk Lirasý;75.000 - 79.999;1
Middle;Mobile Application Developer (Full Stack);"Kotlin;Flutter";1 - 3 Yýl;Erkek;E-Ticaret;101 - 249 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;45.000 - 45.999;2
Senior;Back-end Developer;.Net;15 Yýl ve üzeri;Erkek;Yazýlým Evi & Danýþmanlýk;101 - 249 Kiþi;Remote;Ýstanbul;$ - Dolar;5.000 - 5.999;1
Middle;Back-end Developer;"NodeJS;React";1 - 3 Yýl;Erkek;Outsource;21 - 50 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;50.000 - 50.999;2
Senior;Mobile Application Developer (Full Stack);React Native;3 - 5 Yýl;Erkek;Outsource;11 - 20 Kiþi;Remote;Yalova;? - Türk Lirasý;69.000 - 69.999;2
Middle;Full Stack Developer;"Java;React;Angular";5 - 7 Yýl;Erkek;Banka;101 - 249 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;53.000 - 53.999;2
Senior;Full Stack Developer;"Php;NodeJS;JavaScript | Html | Css;Angular;ASP :D";15 Yýl ve üzeri;Erkek;Dijital / Reklam Ajansý;1 - 5 Kiþi;Ofis;Aydýn;? - Türk Lirasý;22.000 - 22.999;1
Middle;Full Stack Developer;".Net;React";3 - 5 Yýl;Erkek;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;80.000 - 84.999;2
Senior;Full Stack Developer;".Net;JavaScript | Html | Css;Vue";7 - 10 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;105.000 - 109.999;2
Senior;Software Development Manager / Engineering Manager;Java;10 - 12 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;190.000 - 194.999;2
Senior;Data Scientist;Python;3 - 5 Yýl;Erkek;Outsource;51 - 100 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;69.000 - 69.999;2
Middle;Front-end Developer;"NodeJS;JavaScript | Html | Css;React;Vue";3 - 5 Yýl;Erkek;Outsource;250+;Remote;Ankara;? - Türk Lirasý;68.000 - 68.999;2
Senior;Back-end Developer;".Net;Go;Angular";10 - 12 Yýl;Erkek;Startup;101 - 249 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;145.000 - 149.999;2
Senior;Back-end Developer;.Net;5 - 7 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;90.000 - 94.999;2
Middle;Front-end Developer;"JavaScript | Html | Css;React;Angular";3 - 5 Yýl;Erkek;Outsource;21 - 50 Kiþi;Remote;Antalya;? - Türk Lirasý;40.000 - 40.999;2
Senior;Team / Tech Lead;Java;7 - 10 Yýl;Erkek;Outsource;250+;Hibrit (Ofis + Remote);Ankara;? - Türk Lirasý;115.000 - 119.999;2
Junior;Data Scientist;Python;1 - 3 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;43.000 - 43.999;2
Senior;Back-end Developer;.Net;7 - 10 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;130.000 - 134.999;4
Senior;Team / Tech Lead;.Net;12 - 14 Yýl;Erkek;Startup;11 - 20 Kiþi;Þu an remote ama hibrite döneceðiz.;Ýstanbul;? - Türk Lirasý;110.000 - 114.999;2
Junior;Mobile Application Developer (Full Stack);Flutter;1 - 3 Yýl;Erkek;Outsource;250+;Remote;Ýstanbul;? - Türk Lirasý;45.000 - 45.999;2
Senior;Team / Tech Lead;"Java;Python;JavaScript | Html | Css;React;Angular";5 - 7 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;11 - 20 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;75.000 - 79.999;2
Senior;Full Stack Developer;".Net;JavaScript | Html | Css";5 - 7 Yýl;Erkek;Kurumsal;101 - 249 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;72.000 - 72.999;2
Senior;Full Stack Developer;".Net;Angular";1 - 3 Yýl;Kadýn;Outsource;101 - 249 Kiþi;Remote;Ýzmir;? - Türk Lirasý;50.000 - 50.999;2
Senior;Team / Tech Lead;".Net;React";10 - 12 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;115.000 - 119.999;1
Senior;Back-end Developer;Python;5 - 7 Yýl;Erkek;Startup;11 - 20 Kiþi;Remote;Ýzmir;? - Türk Lirasý;72.000 - 72.999;2
Senior;Data Scientist;Python;7 - 10 Yýl;Erkek;Kurumsal;51 - 100 Kiþi;Ofis;Ýstanbul;? - Türk Lirasý;51.000 - 51.999;1
Senior;Software Development Manager / Engineering Manager;"Java;.Net;Swift;JavaScript | Html | Css;React;Vue;Angular";15 Yýl ve üzeri;Erkek;Yazýlým Evi & Danýþmanlýk;21 - 50 Kiþi;Hibrit (Ofis + Remote);Ýzmir;? - Türk Lirasý;100.000 - 104.999;1
Senior;Full Stack Developer;".Net;Vue";5 - 7 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;75.000 - 79.999;2
Senior;Team / Tech Lead;"Php;Go;JavaScript | Html | Css";12 - 14 Yýl;Erkek;Oyun;51 - 100 Kiþi;Hibrit (Ofis + Remote);Ýzmir;$ - Dolar;3.000 - 3.999;1
Middle;Full Stack Developer;".Net;React Native";1 - 3 Yýl;Erkek;Kurumsal;21 - 50 Kiþi;Remote;Samsun;? - Türk Lirasý;45.000 - 45.999;2
Middle;Back-end Developer;Java;3 - 5 Yýl;Erkek;Banka;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;58.000 - 58.999;2
Senior;Business Analyst;".Net;JavaScript | Html | Css";3 - 5 Yýl;Erkek;Banka;51 - 100 Kiþi;Remote;Ankara;? - Türk Lirasý;60.000 - 60.999;2
Senior;Full Stack Developer;"Java;React";5 - 7 Yýl;Erkek;Outsource;250+;Remote;Ýzmir;? - Türk Lirasý;130.000 - 134.999;2
Middle;Full Stack Developer;"Php;JavaScript | Html | Css;Vue;React Native";1 - 3 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;6 - 10 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;24.000 - 24.999;1
Junior;Mobile Application Developer (Android);Kotlin;1 - 3 Yýl;Erkek;Kobi;21 - 50 Kiþi;Hibrit (Ofis + Remote);Bursa;? - Türk Lirasý;37.000 - 37.999;2
Middle;Front-end Developer;"Php;JavaScript | Html | Css;jQuery ";1 - 3 Yýl;Erkek;Startup;1 - 5 Kiþi;Ofis;Ankara;? - Türk Lirasý;35.000 - 35.999;3
Senior;Back-end Developer;Java;7 - 10 Yýl;Erkek;Startup;250+;Remote;* Hollanda;€ - Euro;17.000 - 17.999;1
Senior;Team / Tech Lead;C / C++;12 - 14 Yýl;Erkek;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;105.000 - 109.999;3
Senior;Product Manager;"Flutter;React Native";5 - 7 Yýl;Erkek;Dijital / Reklam Ajansý;6 - 10 Kiþi;Hibrit (Ofis + Remote);Ýzmir;? - Türk Lirasý;24.000 - 24.999;1
Junior;Full Stack Developer;"NodeJS;JavaScript | Html | Css;React;Angular";1 - 3 Yýl;Erkek;Startup;11 - 20 Kiþi;Remote;* Kanada;$ - Dolar;4.000 - 4.999;1
Middle;QA / Manuel Test;JavaScript | Html | Css;3 - 5 Yýl;Kadýn;E-Ticaret;250+;Remote;Ýzmir;$ - Dolar;1.000 - 1.999;1
Senior;Software Architect;C / C++;10 - 12 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);* Almanya;€ - Euro;4.000 - 4.999;1
Middle;Mobile Application Developer (Full Stack);"Java;Swift;React Native";3 - 5 Yýl;Erkek;Kurumsal;51 - 100 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;42.000 - 42.999;3
Middle;RPA Developer;Uipath;3 - 5 Yýl;Erkek;Banka;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;80.000 - 84.999;2
Senior;Game Developer;".Net;Unity";3 - 5 Yýl;Erkek;Oyun;21 - 50 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;90.000 - 94.999;2
Senior;Product Owner;Java;15 Yýl ve üzeri;Erkek;Banka;250+;Remote;Ýstanbul;? - Türk Lirasý;200.000+;2
Middle;Full Stack Developer;".Net;NodeJS;JavaScript | Html | Css;Vue;Angular";1 - 3 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;6 - 10 Kiþi;Remote;Balýkesir;? - Türk Lirasý;35.000 - 35.999;4
Senior;Back-end Developer;"Java;Go";5 - 7 Yýl;Erkek;E-Ticaret;250+;Remote;Ankara;? - Türk Lirasý;135.000 - 139.999;2
Middle;Full Stack Developer;"Java;React";5 - 7 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Trabzon;? - Türk Lirasý;90.000 - 94.999;2
Senior;Back-end Developer;Python;5 - 7 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;75.000 - 79.999;2
Junior;DevOps Engineer;Python;1 - 3 Yýl;Kadýn;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;75.000 - 79.999;2
Senior;Back-end Developer;Php;12 - 14 Yýl;Erkek;Oyun;101 - 249 Kiþi;Ofis;Ýstanbul;? - Türk Lirasý;200.000+;1
Senior;Director of Software Development;"Java;Php;NodeJS;Python;Kotlin;Swift;JavaScript | Html | Css;React";15 Yýl ve üzeri;Erkek;E-Ticaret;21 - 50 Kiþi;Remote;* Suudi Arabistan;$ - Dolar;8.000 - 8.999;1
Senior;Full Stack Developer;"Java;Php;Vue;React Native";7 - 10 Yýl;Erkek;Startup;21 - 50 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;55.000 - 55.999;2
Middle;Full Stack Developer;"Python;React;Vue;Flutter";1 - 3 Yýl;Erkek;Ýnþaat;250+;Ofis;Bursa;? - Türk Lirasý;22.000 - 22.999;1
Junior;Full Stack Developer;".Net;JavaScript | Html | Css";0 - 1 Yýl;Erkek;Kurumsal;250+;Ofis;Ýstanbul;? - Türk Lirasý;42.000 - 42.999;2
Middle;AI Engineer;Python;1 - 3 Yýl;Erkek;Startup;11 - 20 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;45.000 - 45.999;3
Senior;Software Development Manager / Engineering Manager;.Net;7 - 10 Yýl;Erkek;Startup;11 - 20 Kiþi;Hibrit (Ofis + Remote);Antalya;? - Türk Lirasý;75.000 - 79.999;2
Junior;Product Manager;JavaScript | Html | Css;1 - 3 Yýl;Erkek;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;55.000 - 55.999;2
Middle;Front-end Developer;React;3 - 5 Yýl;Kadýn;Outsource;250+;Remote;Ýstanbul;? - Türk Lirasý;50.000 - 50.999;2
Junior;Full Stack Developer;.Net;1 - 3 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;101 - 249 Kiþi;Hibrit (Ofis + Remote);Kocaeli;? - Türk Lirasý;32.000 - 32.999;2
Senior;Front-end Developer;"JavaScript | Html | Css;React;Storybook, NextJs ";12 - 14 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;250+;Remote;Ýstanbul;? - Türk Lirasý;70.000 - 70.999;2
Senior;Mobile Application Developer (iOS);Swift;7 - 10 Yýl;Erkek;Kurumsal;101 - 249 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;85.000 - 89.999;1
Senior;Software Architect;"Java;.Net;JavaScript | Html | Css;Angular";7 - 10 Yýl;Erkek;Kurumsal;101 - 249 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;110.000 - 114.999;2
Middle;Full Stack Developer;".Net;Angular";1 - 3 Yýl;Kadýn;Kurumsal;250+;Remote;Ankara;? - Türk Lirasý;45.000 - 45.999;2
Senior;Product Owner;Php;15 Yýl ve üzeri;Erkek;Kurumsal;101 - 249 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;69.000 - 69.999;2
Junior;Full Stack Developer;".Net;JavaScript | Html | Css;AngularJS";1 - 3 Yýl;Erkek;Kurumsal;21 - 50 Kiþi;Ofis;Ýstanbul;? - Türk Lirasý;40.000 - 40.999;1
Middle;Front-end Developer;"JavaScript | Html | Css;React";3 - 5 Yýl;Erkek;E-Ticaret;250+;Remote;Ýstanbul;? - Türk Lirasý;40.000 - 40.999;3
Senior;Software Development Manager / Engineering Manager;"Java;.Net;Python;React";12 - 14 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;110.000 - 114.999;1
Senior;Mobile Application Developer (Android);"Java;Kotlin";3 - 5 Yýl;Erkek;E-Ticaret;250+;Remote;Eskiþehir;? - Türk Lirasý;90.000 - 94.999;2
Junior;Full Stack Developer;Php;0 - 1 Yýl;Erkek;Dijital / Reklam Ajansý;1 - 5 Kiþi;Ofis;Ankara;? - Türk Lirasý;19.000 - 19.999;1
Middle;Back-end Developer;Python;3 - 5 Yýl;Erkek;Outsource;21 - 50 Kiþi;Remote;Ýstanbul;$ - Dolar;3.000 - 3.999;1
Senior;Front-end Developer;"JavaScript | Html | Css;Vue";5 - 7 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;95.000 - 99.999;1
Senior;Back-end Developer;.Net;7 - 10 Yýl;Erkek;Kurumsal;51 - 100 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;85.000 - 89.999;2
Junior;Full Stack Developer;"Java;NodeJS;Python;JavaScript | Html | Css;React;React Native";0 - 1 Yýl;Erkek;Kurumsal;21 - 50 Kiþi;Hibrit (Ofis + Remote);Ankara;? - Türk Lirasý;30.000 - 30.999;1
Middle;Back-end Developer;.Net;3 - 5 Yýl;Erkek;Kurumsal;21 - 50 Kiþi;Remote;Konya;? - Türk Lirasý;55.000 - 55.999;2
Junior;Mobile Application Developer (Full Stack);React Native;1 - 3 Yýl;Erkek;Kurumsal;101 - 249 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;51.000 - 51.999;2
Senior;Mobile Application Developer (Full Stack);"React;React Native";3 - 5 Yýl;Erkek;Kurumsal;101 - 249 Kiþi;Remote;Ýzmir;? - Türk Lirasý;75.000 - 79.999;2
Junior;Back-end Developer;.Net;1 - 3 Yýl;Erkek;Banka;21 - 50 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;40.000 - 40.999;2
Senior;Full Stack Developer;"NodeJS;React;React Native";3 - 5 Yýl;Erkek;Startup;51 - 100 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;90.000 - 94.999;2
Middle;Front-end Developer;"NodeJS;JavaScript | Html | Css;Angular";5 - 7 Yýl;Erkek;Startup;6 - 10 Kiþi;Remote;Ýzmir;$ - Dolar;3.000 - 3.999;1
Junior;Back-end Developer;.Net;1 - 3 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;11 - 20 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;20.000 - 20.999;2
Middle;Full Stack Developer;"Java;Angular";3 - 5 Yýl;Erkek;Startup;11 - 20 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;57.000 - 57.999;2
Middle;Embedded Software Developer;C / C++;3 - 5 Yýl;Erkek;Startup;21 - 50 Kiþi;Remote;Ýstanbul;$ - Dolar;2.000 - 2.999;1
Junior;Full Stack Developer;"NodeJS;JavaScript | Html | Css;React";1 - 3 Yýl;Erkek;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;28.000 - 28.999;2
Middle;Front-end Developer;Vue;1 - 3 Yýl;Erkek;Kurumsal;250+;Remote;Mardin;? - Türk Lirasý;28.000 - 28.999;2
Junior;Front-end Developer;NodeJS;0 - 1 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;1 - 5 Kiþi;Hibrit (Ofis + Remote);Edirne;? - Türk Lirasý;20.000 - 20.999;2
Senior;Full Stack Developer;"NodeJS;Go;React;React Native";12 - 14 Yýl;Erkek;Startup;21 - 50 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;80.000 - 84.999;2
Senior;DevOps Engineer;"Java;.Net;Php;NodeJS;JavaScript | Html | Css;Flutter";5 - 7 Yýl;Erkek;Kurumsal;101 - 249 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;59.000 - 59.999;2
Senior;Database Administrator (DBA);Sql;10 - 12 Yýl;Erkek;Kurumsal;21 - 50 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;68.000 - 68.999;2
Junior;Data Scientist;Python;1 - 3 Yýl;Erkek;Dijital / Reklam Ajansý;101 - 249 Kiþi;Remote;Ýzmir;$ - Dolar;2.000 - 2.999;1
Middle;Full Stack Developer;"Java;Python;React";3 - 5 Yýl;Erkek;Banka;250+;Hibrit (Ofis + Remote);Bursa;? - Türk Lirasý;100.000 - 104.999;2
Senior;Back-end Developer;.Net;5 - 7 Yýl;Erkek;E-Ticaret;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;125.000 - 129.999;2
Middle;Full Stack Developer;".Net;React";1 - 3 Yýl;Erkek;Startup;1 - 5 Kiþi;Remote;Kocaeli;? - Türk Lirasý;35.000 - 35.999;2
Middle;Data Scientist;Python;3 - 5 Yýl;Erkek;Startup;21 - 50 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;55.000 - 55.999;2
Senior;Mobile Application Developer (Android);Kotlin;5 - 7 Yýl;Erkek;Outsource;250+;Remote;Ankara;? - Türk Lirasý;100.000 - 104.999;1
Middle;Full Stack Developer;"Java;Angular";5 - 7 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;90.000 - 94.999;2
Junior;Back-end Developer;.Net;1 - 3 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;101 - 249 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;37.000 - 37.999;2
Senior;Full Stack Developer;".Net;JavaScript | Html | Css;Angular;Flutter";3 - 5 Yýl;Kadýn;Yazýlým Evi & Danýþmanlýk;11 - 20 Kiþi;Ofis;Kocaeli;? - Türk Lirasý;80.000 - 84.999;1
Junior;Full Stack Developer;".Net;React";0 - 1 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;37.000 - 37.999;2
Senior;Full Stack Developer;.Net;5 - 7 Yýl;Kadýn;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;63.000 - 63.999;1
Senior;Product Manager;"Python;SQL";7 - 10 Yýl;Erkek;Startup;51 - 100 Kiþi;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;90.000 - 94.999;2
Middle;DevOps Engineer;"Php;NodeJS;Go";7 - 10 Yýl;Erkek;Oyun;51 - 100 Kiþi;Hibrit (Ofis + Remote);Ýzmir;$ - Dolar;2.000 - 2.999;1
Senior;Mobile Application Developer (iOS);Swift;5 - 7 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;105.000 - 109.999;4
Middle;Front-end Developer;"JavaScript | Html | Css;Vue";3 - 5 Yýl;Erkek;Kurumsal;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;52.000 - 52.999;1
Middle;Team / Tech Lead;"JavaScript | Html | Css;React";7 - 10 Yýl;Erkek;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;115.000 - 119.999;2
Senior;Mobile Application Developer (Full Stack);React Native;1 - 3 Yýl;Erkek;Yazýlým Evi & Danýþmanlýk;250+;Remote;Ýstanbul;? - Türk Lirasý;65.000 - 65.999;2
Middle;Full Stack Developer;".Net;JavaScript | Html | Css;React";1 - 3 Yýl;Erkek;Kurumsal;250+;Ofis;Konya;? - Türk Lirasý;38.000 - 38.999;1
Senior;Back-end Developer;"Java;Go";7 - 10 Yýl;Erkek;E-Ticaret;250+;Remote;Ýstanbul;? - Türk Lirasý;125.000 - 129.999;2
Senior;Full Stack Developer;.Net;12 - 14 Yýl;Erkek;Outsource;11 - 20 Kiþi;Ofis;Ankara;? - Türk Lirasý;73.000 - 73.999;2
Senior;Front-end Developer;JavaScript | Html | Css;7 - 10 Yýl;Erkek;Outsource;101 - 249 Kiþi;Remote;* Ýngiltere;$ - Dolar;3.000 - 3.999;1
Senior;Back-end Developer;.Net;5 - 7 Yýl;Erkek;Banka;250+;Remote;Ýstanbul;? - Türk Lirasý;85.000 - 89.999;2
Middle;Full Stack Developer;".Net;JavaScript | Html | Css";3 - 5 Yýl;Erkek;Kurumsal;6 - 10 Kiþi;Remote;Ankara;? - Türk Lirasý;36.000 - 36.999;1
Senior;Back-end Developer;.Net;7 - 10 Yýl;Erkek;Kurumsal;51 - 100 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;85.000 - 89.999;2
Middle;SAP/ABAP Developer & Consultant;C#;1 - 3 Yýl;Kadýn;Kurumsal;101 - 249 Kiþi;Ofis;Ýstanbul;? - Türk Lirasý;37.000 - 37.999;2
Senior;Business Analyst;Sql;3 - 5 Yýl;Kadýn;Kurumsal;250+;Remote;Ýstanbul;? - Türk Lirasý;63.000 - 63.999;2
Senior;Software Architect;Java;15 Yýl ve üzeri;Erkek;Banka;250+;Hibrit (Ofis + Remote);Ýstanbul;? - Türk Lirasý;155.000 - 159.999;1
Senior;Full Stack Developer;".Net;JavaScript | Html | Css;Vue";7 - 10 Yýl;Erkek;Outsource;101 - 249 Kiþi;Remote;Ýstanbul;? - Türk Lirasý;67.000 - 67.999;1
Middle;Back-end Developer;Python;3 - 5 Yýl;Erkek;Startup;21 - 50 Kiþi;Remote;Ýstanbul;$ - Dolar;3.000 - 3.999;1
